CPTCode,Total,OFF,FAC,TC27,PC26,FUD
10021,$167.11, , ,$33.95,$133.16,0
10022,$172.48, , ,$45.07,$127.41,0
10030, ,"$1,524.81",$316.87, , ,0
10040,$130.03, , , , ,0
10060,$121.89, , , , ,0
10061,$244.60, , , , ,15
10080,$146.18, , , , ,0
10081,$276.29, , , , ,15
10120,$129.20, , , , ,0
10121,$286.03, , , , ,15
10140,$153.57, , , , ,0
10160,$120.26, , , , ,0
10180,$256.78, , , , ,15
11000,$102.38, , , , ,0
11001,$55.25, , , , ,0
11004,"$1,120.00", , , , ,0
11005,"$1,522.91", , , , ,0
11006,"$1,398.63", , , , ,0
11008,$566.68, , , , ,0
11010,$642.39, , , , ,0
11011,$765.76, , , , ,0
11012,"$1,064.30", , , , ,0
11042,$138.95, , , , ,0
11043,$289.29, , , , ,15
11044,$404.69, , , , ,15
11045, ,$60.63,$35.08, , , 
11046, ,$105.64,$74.74, , , 
11047, ,$173.49,$129.82, , , 
11055,$25.13, , , , ,0
11056,$35.99, , , , ,0
11057,$41.65, , , , ,0
11100,$103.21, , , , ,15
11101,$54.45, , , , ,15
11200,$87.76, , , , ,0
11201,$34.13, , , , ,0
11300,$81.27, , , , ,0
11301,$118.64, , , , ,0
11302,$151.14, , , , ,0
11303,$203.96, , , , ,0
11305,$92.64, , , , ,0
11306,$132.46, , , , ,0
11307,$162.51, , , , ,0
11308,$220.21, , , , ,0
11310,$110.52, , , , ,0
11311,$147.89, , , , ,0
11312,$181.22, , , , ,0
11313,$242.98, , , , ,0
11400,$108.89, , , , ,15
11401,$151.97, , , , ,15
11402,$191.77, , , , ,15
11403,$238.09, , , , ,15
11404,$277.09, , , , ,15
11406,$363.24, , , , ,15
11420,$119.46, , , , ,15
11421,$171.45, , , , ,15
11422,$207.22, , , , ,15
11423,$268.97, , , , ,15
11424,$310.42, , , , ,15
11426,$438.80, , , , ,15
11440,$139.77, , , , ,15
11441,$188.53, , , , ,15
11442,$229.98, , , , ,15
11443,$304.74, , , , ,15
11444,$378.67, , , , ,15
11446,$487.56, , , , ,15
11450,$416.06, , , , ,15
11451,$529.01, , , , ,15
11462,$376.24, , , , ,15
11463,$458.31, , , , ,15
11470,$464.82, , , , ,15
11471,$533.89, , , , ,15
11600,$194.22, , , , ,15
11601,$255.15, , , , ,15
11602,$300.66, , , , ,15
11603,$354.30, , , , ,15
11604,$399.80, , , , ,15
11606,$512.75, , , , ,15
11620,$204.78, , , , ,15
11621,$286.03, , , , ,15
11622,$349.42, , , , ,15
11623,$425.80, , , , ,15
11624,$514.38, , , , ,15
11626,$599.71, , , , ,15
11640,$243.78, , , , ,15
11641,$348.61, , , , ,15
11642,$425.00, , , , ,15
11643,$503.81, , , , ,15
11644,$624.90, , , , ,15
11646,$800.41, , , , ,15
11719,$11.93, , , , ,0
11720,$49.93, , , , ,0
11721,$84.23, , , , ,0
11730,$123.52, , , , ,0
11732,$48.76, , , , ,0
11740,$59.33, , , , ,0
11750,$292.54, , , , ,10
11752,$407.12, , , , ,15
11755,$180.39, , , , ,15
11760,$192.59, , , , ,15
11762,$421.74, , , , ,15
11765,$90.21, , , , ,15
11770,$413.63, , , , ,15
11771,$770.36, , , , ,45
11772,$891.42, , , , ,45
11900,$60.13, , , , ,0
11901,$94.27, , , , ,0
11920,$221.84, , , , ,0
11921,$264.92, , , , ,0
11922,$67.44, , , , ,0
11950,$157.65, , , , ,0
11951,$185.28, , , , ,0
11952,$225.10, , , , ,0
11954,$237.29, , , , ,0
11960,"$1,096.21", , , , ,90
11970,"$1,206.73", , , , ,90
11971,$376.24, , , , ,15
11976,$214.63, , , , ,15
11980,$215.54, , , , ,0
11981, ,$222.95,$154.23, , ,15
11982, ,$254.33,$185.59, , ,15
11983, ,$412.82,$344.10, , ,15
12001,$152.60, , , , ,0
12002,$178.27, , , , ,0
12004,$228.19, , , , ,0
12005,$293.80, , , , ,15
